Consulta Dinâmica de Receita 01/2019 - 06/2020
Alínea;Subalínea;Exercício;Mês;Receita Prevista;Receita Realizada;Diferença;% Realizado;
"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"2020";"1";7.013.475,00;0,00;7.013.475,00;0,00;
"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"2019";"3";0,00;2.497.947,00;-2.497.947,00;0,00;
"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"2020";"3";0,00;937.370,80;-937.370,80;0,00;
"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"2020";"5";266.213,00;0,00;266.213,00;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"1";12.331.102,00;872.154,46;11.458.947,54;7,07;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"1";8.852.521,00;1.948.711,39;6.903.809,61;22,01;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"2";0,00;1.002.844,27;-1.002.844,27;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"2";0,00;1.553.979,49;-1.553.979,49;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"3";0,00;989.497,52;-989.497,52;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"3";0,00;1.129.436,99;-1.129.436,99;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"4";0,00;1.522.126,34;-1.522.126,34;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"4";0,00;1.803.629,08;-1.803.629,08;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"5";0,00;1.641.879,10;-1.641.879,10;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"5";0,00;775.267,00;-775.267,00;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2019";"6";0,00;1.167.810,00;-1.167.810,00;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL";"2020";"6";0,00;449.918,96;-449.918,96;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - MULTAS E JUROS";"2019";"1";1.935,00;0,00;1.935,00;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"1";379.427,00;170.648,58;208.778,42;44,98;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"1";2.613.389,00;139.710,92;2.473.678,08;5,35;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"2";0,00;120.563,30;-120.563,30;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"2";0,00;102.336,56;-102.336,56;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"3";0,00;398.707,30;-398.707,30;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"3";0,00;87.317,81;-87.317,81;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"4";0,00;152.646,23;-152.646,23;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"4";0,00;60.293,16;-60.293,16;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"5";0,00;124.246,34;-124.246,34;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"5";0,00;59.973,75;-59.973,75;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2019";"6";0,00;164.151,51;-164.151,51;0,00;
"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO - PRINCIPAL";"2020";"6";0,00;61.980,34;-61.980,34;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"1";19.110.690,00;733.624,59;18.377.065,41;3,84;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"1";19.569.605,00;1.342.076,80;18.227.528,20;6,86;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"2";0,00;749.226,61;-749.226,61;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"2";0,00;889.006,05;-889.006,05;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"3";0,00;805.353,02;-805.353,02;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"3";0,00;1.021.888,81;-1.021.888,81;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"4";0,00;686.436,47;-686.436,47;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"4";0,00;2.202.827,27;-2.202.827,27;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"5";0,00;1.297.886,09;-1.297.886,09;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"5";0,00;1.339.482,98;-1.339.482,98;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2019";"6";0,00;964.460,76;-964.460,76;0,00;
"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTOS - PRINCIPAL";"2020";"6";0,00;444.932,92;-444.932,92;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"1";400.000.000,00;208.369.183,55;191.630.816,45;52,09;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"1";240.000.000,00;16.787.931,68;223.212.068,32;6,99;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"2";0,00;40.622.448,71;-40.622.448,71;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"2";0,00;19.543.798,60;-19.543.798,60;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"3";0,00;51.241.568,86;-51.241.568,86;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"3";0,00;17.535.894,92;-17.535.894,92;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"4";124.400.000,00;59.168.654,73;65.231.345,27;47,56;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"4";0,00;17.582.382,67;-17.582.382,67;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"5";0,00;41.560.751,59;-41.560.751,59;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"5";0,00;17.471.647,64;-17.471.647,64;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2019";"6";0,00;77.311.049,30;-77.311.049,30;0,00;
"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"COMPENSAÇÕES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PRÓPRIOS DE";"2020";"6";0,00;17.452.136,27;-17.452.136,27;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"1";29.799.964,00;2.385.967,75;27.413.996,25;8,01;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"1";38.681.236,00;2.354.687,76;36.326.548,24;6,09;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"2";0,00;1.487.639,10;-1.487.639,10;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"2";0,00;1.748.997,56;-1.748.997,56;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"3";0,00;1.518.117,89;-1.518.117,89;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"3";0,00;1.764.398,85;-1.764.398,85;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"4";0,00;1.950.326,84;-1.950.326,84;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"4";0,00;1.167.691,79;-1.167.691,79;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"5";0,00;1.906.124,44;-1.906.124,44;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"5";0,00;1.318.970,67;-1.318.970,67;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2019";"6";0,00;1.425.765,47;-1.425.765,47;0,00;
"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS";"2020";"6";0,00;1.155.593,18;-1.155.593,18;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2019";"2";0,00;-12.258,86;12.258,86;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2020";"2";0,00;-650,18;650,18;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2020";"3";0,00;-8.127,22;8.127,22;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2020";"4";0,00;-14.206,20;14.206,20;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2019";"5";0,00;-16.808,10;16.808,10;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2020";"5";0,00;-2.169,44;2.169,44;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2019";"6";0,00;-6.362,00;6.362,00;0,00;
"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS SOBRE O";"CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL -COFINS PRINCIPAL";"2020";"6";0,00;-1.813,15;1.813,15;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"1";0,00;941.700,08;-941.700,08;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2020";"1";13.665.000,00;0,00;13.665.000,00;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"2";0,00;812.583,54;-812.583,54;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"3";0,00;761.856,18;-761.856,18;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"4";0,00;806.010,21;-806.010,21;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"5";0,00;1.255.181,61;-1.255.181,61;0,00;
"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA - SERVIDORES CIVIS";"2019";"6";0,00;1.235.737,80;-1.235.737,80;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"1";13.021,00;1.714,68;11.306,32;13,17;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2020";"1";37.581,00;1.659,61;35.921,39;4,42;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"2";0,00;2.710,83;-2.710,83;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2020";"2";0,00;4.280,87;-4.280,87;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"3";0,00;1.394,22;-1.394,22;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2020";"3";0,00;1.113,56;-1.113,56;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"4";0,00;1.079,08;-1.079,08;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"5";0,00;298,62;-298,62;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2020";"5";0,00;352,03;-352,03;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2019";"6";0,00;1.656,32;-1.656,32;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA";"2020";"6";0,00;23,89;-23,89;0,00;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - PRINCIP";"2019";"1";267.994.850,00;18.906.308,42;249.088.541,58;7,05;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - PRINCIP";"2020";"1";342.597.774,00;22.009.251,77;320.588.522,23;6,42;
"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - PRINCIP";"2019";"2";0,00;3.452.579,02;-3.452.579,02;0,00;
